target,prediction
-0.826772, -0.818201
-0.8182011246681213,-0.8267719149589539
-0.201390, -0.698764
-0.6987635493278503,-0.20139043033123016
-0.855549, -0.818675
-0.8186747431755066,-0.8555490374565125
-0.896580, -0.900715
-0.9007148146629333,-0.8965803384780884
-0.749117, -0.711414
-0.7114143967628479,-0.749116837978363
-0.525457, -0.569809
-0.5698090195655823,-0.5254567861557007
-0.450642, -0.441746
-0.44174620509147644,-0.45064234733581543
-0.398523, -0.476628
-0.47662779688835144,-0.3985227048397064
-0.819442, -0.815383
-0.8153826594352722,-0.8194419145584106
-0.945729, -0.707498
-0.7074978947639465,-0.9457286596298218
0.115324, 0.039338
0.03933820500969887,0.11532443761825562
-0.918087, -0.824317
-0.824317216873169,-0.9180867671966553
-0.658576, -0.645112
-0.6451117396354675,-0.6585763692855835
-0.340722, -0.632195
-0.6321954131126404,-0.3407217264175415
-0.696049, -0.621041
-0.6210406422615051,-0.6960490345954895
-0.684801, -0.712601
-0.712601363658905,-0.6848012804985046
-0.738862, -0.744882
-0.7448815703392029,-0.7388615608215332
-0.189063, -0.199545
-0.19954529404640198,-0.18906331062316895
-0.575094, -0.600308
-0.6003079414367676,-0.5750938057899475
-0.897827, -0.699478
-0.6994776129722595,-0.8978273272514343
-0.848689, -0.758119
-0.7581188082695007,-0.8486888408660889
-0.679497, -0.721873
-0.7218731045722961,-0.6794973015785217
-0.890753, -0.898059
-0.8980585932731628,-0.8907533884048462
-0.298701, -0.260164
-0.26016417145729065,-0.29870134592056274
-1.099035, -1.107608
-1.1076083183288574,-1.0990350246429443
-0.616786, -0.661368
-0.6613677144050598,-0.616786003112793
0.014851, -0.108656
-0.1086561530828476,0.014850675128400326
